CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,249,-10,56,-,"1,970.00",182.45,195,"1,922.80","1,978.70",195,"22,400.00","1,040",0.95,1.10,"2,470",-0.60,1.00,30.77,"60,739","-2,765","12,790",
,13,-,-,-,"1,773.45",-,780,"1,853.60","1,980.75",780,"22,450.00","2,535",1.05,1.20,"3,250",-0.60,1.20,30.64,"32,043",560,"3,679",
,"1,399",-305,482,-,"1,857.00",154.25,65,"1,871.15","1,883.25",130,"22,500.00","1,430",1.25,1.35,"2,535",-0.65,1.30,30.16,"3,95,142","3,352","73,133",
,9,-1,5,-,"1,760.00",108.95,130,"1,762.15","1,878.85",390,"22,550.00","1,040",1.25,1.40,"4,550",-0.70,1.40,29.66,"47,688",730,"6,062",
,228,-3,6,-,"1,761.40",246.40,260,"1,769.30","1,822.45",780,"22,600.00","1,755",1.45,1.60,"4,875",-0.55,1.60,29.36,"2,13,920","-2,298","30,626",
,22,-2,2,-,"1,626.45",434.55,130,"1,662.40","1,772.60",390,"22,650.00","1,755",1.45,1.60,"3,250",-0.95,1.50,28.39,"59,116","3,341","9,021",
,468,-10,31,-,"1,659.95",149.25,130,"1,662.70","1,704.35",780,"22,700.00","8,775",1.60,1.70,"1,040",-0.85,1.75,28.14,"2,81,985","10,832","40,954",
,77,-,-,-,"1,347.90",-,780,"1,553.40","1,669.80",780,"22,750.00","6,435",1.75,1.90,"3,120",-1.05,1.85,27.55,"69,020","1,712","9,654",
,624,-33,107,-,"1,560.00",137.80,910,"1,524.20","1,606.95",780,"22,800.00","1,560",1.95,2.15,"1,950",-1.05,2.00,27.04,"4,17,873","14,289","54,280",
,81,-,-,-,"1,334.80",-,780,"1,466.05","1,561.80",65,"22,850.00",910,2.15,2.30,585,-1.20,2.30,26.73,"1,06,485","5,136","12,847",
,504,-23,43,-,"1,464.70",174.65,780,"1,414.95","1,502.00",65,"22,900.00",910,2.55,2.70,"14,105",-1.20,2.70,26.49,"3,09,968","16,360","41,601",
,102,-8,22,-,"1,417.05",149.60,130,"1,365.10","1,467.30",65,"22,950.00","2,925",2.75,2.90,"1,755",-1.55,2.90,25.93,"97,669","5,086","13,264",
,"6,445",-570,"1,707",24.01,"1,380.80",193.20,65,"1,375.05","1,380.90",65,"23,000.00","11,245",3.25,3.30,"2,665",-1.80,3.25,25.51,"7,27,295","24,823","1,59,692",
,89,-,4,-,"1,307.95",130.10,130,"1,275.25","1,354.60",780,"23,050.00",520,3.50,3.65,"2,535",-2.30,3.65,25.10,"1,20,083","2,788","10,482",
,700,-107,186,-,"1,264.00",169.80,130,"1,248.40","1,285.00",65,"23,100.00","1,495",3.80,4.00,"25,545",-2.75,4.00,24.59,"3,44,367","11,872","37,830",
,134,-1,11,-,"1,212.95",173.40,65,"1,221.75","1,259.25",65,"23,150.00","1,755",4.30,4.45,"3,705",-3.40,4.50,24.17,"1,68,819","7,793","18,291",
,"1,137",-134,376,-,"1,173.75",178.55,390,"1,175.05","1,193.05",65,"23,200.00","1,755",4.90,5.05,"2,015",-4.15,4.85,23.58,"5,33,747","2,776","76,069",
,145,-8,43,-,"1,093.65",152.45,390,"1,124.30","1,141.55",130,"23,250.00","1,560",5.45,5.60,"1,300",-4.85,5.70,23.31,"2,18,912","-4,678","17,200",
,"1,768",-77,352,-,"1,060.00",164.90,65,"1,074.60","1,086.75",65,"23,300.00",325,6.25,6.35,"1,690",-6.15,6.20,22.74,"4,79,303","9,080","62,797",
,304,-6,36,-,"1,015.00",174.30,130,"1,026.30","1,041.85",65,"23,350.00","3,510",7.25,7.35,"1,105",-7.50,7.40,22.52,"2,04,772","4,371","20,083",
,"1,608",-64,390,-,972.00,167.30,130,976.85,992.95,65,"23,400.00",260,8.05,8.20,"1,170",-9.20,8.20,22.00,"4,52,143","21,358","58,015",
,467,1,179,-,912.20,165.15,130,927.70,942.30,195,"23,450.00",390,9.25,9.35,"2,795",-11.10,9.30,21.56,"2,71,072","6,352","24,781",
,"6,397",-333,"8,669",18.39,884.25,171.40,650,884.80,888.00,260,"23,500.00",650,10.60,10.70,"2,210",-13.20,10.65,21.15,"9,23,023","18,735","1,00,503",
,917,-49,615,-,816.95,155.10,65,833.60,844.05,195,"23,550.00","2,470",12.10,12.25,585,-15.90,12.20,20.74,"2,82,440","7,058","18,986",
,"2,972",-600,"3,596",13.91,780.95,164.90,325,788.75,792.90,780,"23,600.00","1,625",13.85,14.05,"2,340",-19.30,14.05,20.34,"6,08,601","5,976","50,780",
